x_value: 1.0*2^-127, y_value: 1.2324277*2^4
x_value: 1.0078124*2^7, y_value: 1.0435878*2^4



x_value: 1.0156249*2^7, y_value: 1.5305957*2^3



x_value: 1.0234373*2^7, y_value: 1.0336492*2^3



x_value: 1.0312499*2^7, y_value: 1.4312062*2^2



x_value: 1.0390623*2^7, y_value: 1.9082755*2^1



x_value: 1.0468748*2^7, y_value: 1.4312062*2^1



x_value: 1.0546872*2^7, y_value: 1.749252*2^0



x_value: 1.0624999*2^7, y_value: 1.2721833*2^-3



x_value: 1.0703123*2^7, y_value: -1.2721833*2^-1



x_value: 1.0781248*2^7, y_value: -1.9082755*2^0



x_value: 1.0859372*2^7, y_value: -1.9877865*2^1



x_value: 1.0937498*2^7, y_value: -1.1131602*2^2



x_value: 1.1015622*2^7, y_value: -1.1926719*2^2



x_value: 1.1093747*2^7, y_value: -1.4709622*2^2



x_value: 1.1171871*2^7, y_value: -1.749252*2^2



x_value: 1.1249999*2^7, y_value: -1.749252*2^2



x_value: 1.1328123*2^7, y_value: -1.9877865*2^2



x_value: 1.1406248*2^7, y_value: -1.1131602*2^3



x_value: 1.1484372*2^7, y_value: -1.1529161*2^3



x_value: 1.1562498*2^7, y_value: -1.2125496*2^3



x_value: 1.1640622*2^7, y_value: -1.3318171*2^3



x_value: 1.1718747*2^7, y_value: -1.3715726*2^3



x_value: 1.1796871*2^7, y_value: -1.4312062*2^3



x_value: 1.1874998*2^7, y_value: -1.4908397*2^3



x_value: 1.1953122*2^7, y_value: -1.5305957*2^3



x_value: 1.2031247*2^7, y_value: -1.5703517*2^3



x_value: 1.2109371*2^7, y_value: -1.6498628*2^3



x_value: 1.2187497*2^7, y_value: -1.4312062*2^3



x_value: 1.2265621*2^7, y_value: -1.6697407*2^3



x_value: 1.2343746*2^7, y_value: -1.6498628*2^3



x_value: 1.242187*2^7, y_value: -1.2523058*2^3



x_value: 1.2499999*2^7, y_value: -1.2920614*2^3



x_value: 1.2578123*2^7, y_value: -1.3516949*2^3



x_value: 1.2656248*2^7, y_value: -1.9082755*2^2



x_value: 1.2734372*2^7, y_value: -1.7890079*2^2



x_value: 1.2812498*2^7, y_value: -1.0734048*2^3



x_value: 1.2890622*2^7, y_value: -1.7094964*2^2



x_value: 1.2968747*2^7, y_value: -1.9877865*2^1



x_value: 1.3046871*2^7, y_value: -1.5107179*2^2



x_value: 1.3124998*2^7, y_value: -1.3119389*2^2



x_value: 1.3203122*2^7, y_value: -1.4312062*2^0



x_value: 1.3281247*2^7, y_value: -1.3516949*2^1



x_value: 1.3359371*2^7, y_value: -1.5902293*2^1



x_value: 1.3437497*2^7, y_value: 1.5107179*2^1



x_value: 1.3515621*2^7, y_value: 1.5902293*2^1



x_value: 1.3593746*2^7, y_value: 1.9082755*2^0



x_value: 1.367187*2^7, y_value: 1.749252*2^2



x_value: 1.3749998*2^7, y_value: 1.0932825*2^3



